episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
231043944332216755,200,-0.21999999999999928,-0.03,-0.04000000000000001,-0.029999999999999888,-0.12000000000000005
781134652008157923,200,-0.45000000000000023,-0.17999999999999966,-0.06,-0.1599999999999999,-0.04999999999999989
500514693736382538,200,-1.360000000000002,-0.6900000000000003,-0.56,-0.029999999999999798,-0.08000000000000007
663697027773476403,200,-0.5900000000000007,-0.5399999999999998,-0.02,-0.030000000000000207,-9.71445146547012e-17
977003479605893329,200,-0.14000000000000254,2.220446049250313e-16,-0.1399999999999998,0.0,-1.1102230246251565e-16
305440889863985820,200,-0.4399999999999966,-0.1599999999999999,-0.030000000000000054,-0.09999999999999995,-0.15000000000000002
515980358115514984,200,-1.3300000000000032,-0.03,-1.25,-0.019999999999999876,-0.029999999999999964
305256366367827892,200,-0.280000000000004,-0.020000000000000004,-0.059999999999999915,-0.13999999999999987,-0.05999999999999993
42655397723055917,200,-0.7500000000000023,-0.48000000000000087,-0.11000000000000011,-0.06999999999999967,-0.09
75158978632382858,200,-1.0799999999999965,3.0531133177191805e-16,-0.97,-0.10999999999999978,2.220446049250313e-16
978235063352399043,200,-0.7000000000000024,-0.08999999999999952,-0.48999999999999977,-0.029999999999999895,-0.08999999999999997
729707553882618046,200,-1.0199999999999994,-0.03999999999999988,-0.09,-0.4700000000000001,-0.42
834004170570886694,200,-0.5799999999999981,-0.06,-0.13,-0.29999999999999977,-0.09000000000000011
73984396893075990,200,-2.320000000000002,-0.05000000000000001,-0.38,-0.04999999999999978,-1.8399999999999999
451160565603047082,200,-1.6900000000000026,-1.49,-0.08000000000000045,-0.029999999999999943,-0.08999999999999972
353629432611147931,200,-1.3300000000000016,-0.22000000000000008,-0.73,-0.030000000000000027,-0.35000000000000014
313426507572932466,200,-0.520000000000002,-6.938893903907228e-18,-0.43,-0.02,-0.06999999999999995
172668078172869228,200,-1.0599999999999996,-0.3599999999999999,-0.009999999999999967,-0.03999999999999987,-0.65
676068460346101990,200,-0.8299999999999991,-2.0816681711721685e-16,2.220446049250313e-16,-0.06,-0.77
604302325929429988,200,-1.559999999999999,-0.43999999999999995,-0.23,-0.01,-0.8799999999999999
171691335260972812,200,-0.7500000000000017,-1.1102230246251565e-16,-0.43,0.0,-0.3200000000000002
421434594937347086,200,-1.7300000000000004,-0.43,-1.0300000000000002,-0.06,-0.2100000000000002
897628258971238010,200,-0.48999999999999794,-0.05999999999999997,-0.14000000000000012,2.7755575615628914e-17,-0.29
862901489743911396,200,-0.4399999999999987,-0.20000000000000012,-0.1399999999999999,-0.030000000000000054,-0.06999999999999995
973592126735370854,200,-0.5800000000000021,-0.060000000000000164,-0.06000000000000011,-0.1500000000000001,-0.31
462165648423638899,200,-0.7800000000000009,1.249000902703301e-16,-0.020000000000000018,-1.1102230246251565e-16,-0.7599999999999999
427591049975108022,200,-0.5699999999999992,-0.029999999999999777,-0.010000000000000009,-0.06999999999999978,-0.45999999999999985
582433704736248278,200,-0.21000000000000102,-0.10000000000000003,8.326672684688674e-17,-0.07999999999999995,-0.03000000000000007
645588272122068687,200,-0.26000000000000156,-0.14999999999999977,-0.030000000000000013,-0.08000000000000002,1.1102230246251565e-16
